Kernel IP routing table
Destination     Gateway         Genmask         
default         _gateway        0.0.0.0         
10.0.2.0        0.0.0.0         255.255.255.0   
10.1.1.0        0.0.0.0         255.255.255.0   
22.33.138.80    10.1.1.2        255.255.255.252 
24.21.152.58    0.0.0.0         255.255.255.254 
59.61.0.0       10.1.1.2        255.255.128.0   
115.66.245.128  0.0.0.0         255.255.255.192 
121.95.248.0    0.0.0.0         255.255.254.0   
122.131.152.88  0.0.0.0         255.255.255.248 
link-local      0.0.0.0         255.255.0.0     
