Kernel IP routing table
Destination     Gateway         Genmask         
default         _gateway        0.0.0.0         
10.0.2.0        0.0.0.0         255.255.255.0   
10.1.1.0        0.0.0.0         255.255.255.0   
25.173.64.0     0.0.0.0         255.255.192.0   
40.0.220.0      0.0.0.0         255.255.255.128 
74.191.128.0    0.0.0.0         255.255.254.0   
80.99.16.0      0.0.0.0         255.255.240.0   
86.195.97.64    10.1.1.2        255.255.255.192 
112.118.103.0   10.1.1.2        255.255.255.192 
link-local      0.0.0.0         255.255.0.0     
