Kernel IP routing table
Destination     Gateway         Genmask         
default         _gateway        0.0.0.0         
10.0.2.0        0.0.0.0         255.255.255.0   
10.1.1.0        0.0.0.0         255.255.255.0   
27.128.147.0    10.1.1.2        255.255.255.128 
53.139.6.144    0.0.0.0         255.255.255.240 
64.234.128.0    0.0.0.0         255.255.128.0   
65.41.126.0     0.0.0.0         255.255.254.0   
72.99.0.0       10.1.1.2        255.255.0.0     
126.116.78.0    0.0.0.0         255.255.255.128 
link-local      0.0.0.0         255.255.0.0     
